"match_name","full_name","marathon","year","vaporfly"
"LELISA DESISA","LELISA DESISA","Boston Marathon",2015,FALSE
"YEMANE ADHANE TSEGAY","YEMANE ADHANE TSEGAY","Boston Marathon",2015,FALSE
"WILSON CHEBET","WILSON CHEBET","Boston Marathon",2015,FALSE
"BERNARD KIPYEGO","BERNARD KIPYEGO","Boston Marathon",2015,FALSE
"WESLEY KORIR","WESLEY KORIR","Boston Marathon",2015,FALSE
"FRANKLINE CHEPKWONY","FRANKLINE CHEPKWONY","Boston Marathon",2015,FALSE
"DATHAN RITZENHEIN","DATHAN RITZENHEIN","Boston Marathon",2015,FALSE
"MEB KEFLEZIGHI","MEB KEFLEZIGHI","Boston Marathon",2015,FALSE
"TADESE TOLA","TADESE TOLA","Boston Marathon",2015,FALSE
"VITALIY SHAFAR","VITALIY SHAFAR","Boston Marathon",2015,FALSE
"MATT TEGENKAMP","MATT TEGENKAMP","Boston Marathon",2015,FALSE
"JEFFREY EGGLESTON","JEFFREY EGGLESTON","Boston Marathon",2015,FALSE
"LUSAPHO APRIL","LUSAPHO APRIL","Boston Marathon",2015,FALSE
"NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Boston Marathon",2015,FALSE
"DANILO GOFFI","DANILO GOFFI","Boston Marathon",2015,FALSE
"SAGE CANADAY","SAGE CANADAY","Boston Marathon",2015,FALSE
"SERGEY ZYRYANOV","SERGEY ZYRYANOV","Boston Marathon",2015,FALSE
"CHRIS CHAVEZ","CHRIS CHAVEZ","Boston Marathon",2015,FALSE
"SCOTT MACPHERSON","SCOTT MACPHERSON","Boston Marathon",2015,FALSE
"CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Boston Marathon",2015,FALSE
"KIYOKATSU HASEGAWA","KIYOKATSU HASEGAWA","Boston Marathon",2015,FALSE
"BENJAMIN P. ZYWICKI","BENJAMIN P. ZYWICKI","Boston Marathon",2015,FALSE
"PHILIPPE VIAU-DUPUIS","PHILIPPE VIAU-DUPUIS","Boston Marathon",2015,FALSE
