race,year,date,midd,first_last
Women's Olympic Trials Marathon,2016,2016-02-13,5303160213,TRUE
Men's Olympic Trials Marathon,2016,2016-02-13,5302160213,TRUE
Grandma's Marathon,2019,2019-06-22,42190622,TRUE
Grandma's Marathon,2018,2018-06-16,42180616,TRUE
Grandma's Marathon,2017,2017-06-17,42170617,TRUE
Grandma's Marathon,2016,2016-06-18,42160618,TRUE
Grandma's Marathon,2015,2015-06-20,42150620,TRUE
New York City Marathon,2019,2019-11-03,472191103,TRUE
New York City Marathon,2018,2018-11-04,472181104,TRUE
New York City Marathon,2017,2017-11-05,472171105,TRUE
New York City Marathon,2016,2016-11-06,472161106,TRUE
New York City Marathon,2015,2015-11-01,472151101,TRUE
Chicago Marathon,2019,2019-10-13,67191013,TRUE
Chicago Marathon,2018,2018-10-07,67181007,FALSE
Chicago Marathon,2017,2017-10-08,67171008,TRUE
Chicago Marathon,2016,2016-10-09,67161009,TRUE
Chicago Marathon,2015,2015-10-11,67151011,TRUE
Houston Marathon,2019,2019-01-20,2190120,TRUE
Houston Marathon,2018,2018-01-14,2180114,TRUE
Houston Marathon,2017,2017-01-15,2170115,TRUE
Houston Marathon,2016,2016-01-17,2160117,TRUE
Houston Marathon,2015,2015-01-18,2150118,TRUE
Cal Intl Marathon,2019,2019-12-08,687191208,TRUE
Cal Intl Marathon,2018,2018-12-02,687181202,TRUE
Cal Intl Marathon,2017,2017-12-03,687171203,TRUE
Cal Intl Marathon,2016,2016-12-04,687161204,TRUE
Cal Intl Marathon,2015,2015-12-06,687151206,TRUE
Boston Marathon,2019,2019-04-15,15190415,TRUE
Boston Marathon,2018,2018-04-16,15180416,TRUE
Boston Marathon,2017,2017-04-17,15170417,TRUE
Boston Marathon,2016,2016-04-18,15160418,TRUE
Boston Marathon,2015,2015-04-20,15150420,TRUE
Twin Cities Marathon,2019,2019-10-06,58191006,TRUE
Twin Cities Marathon,2018,2018-10-07,58181007,TRUE
Twin Cities Marathon,2017,2017-10-01,58171001,TRUE
Twin Cities Marathon,2016,2016-10-09,58161009,TRUE
Twin Cities Marathon,2015,2015-10-04,58151004,TRUE
Philadelphia Marathon,2019,2019-11-24,479191124,TRUE
Philadelphia Marathon,2018,2018-11-18,479181118,TRUE
Philadelphia Marathon,2017,2017-11-19,479171119,TRUE
Philadelphia Marathon,2016,2016-11-20,479161120,TRUE
Philadelphia Marathon,2015,2015-11-22,479151122,TRUE
Indianapolis Mon Marathon,2019,2019-11-09,2953191109,TRUE
Indianapolis Mon Marathon,2018,2018-11-03,2953181103,TRUE
Indianapolis Mon Marathon,2017,2017-11-04,2953171104,TRUE
Indianapolis Mon Marathon,2016,2016-11-05,2953161105,TRUE
Indianapolis Mon Marathon,2015,2015-11-07,2953151107,TRUE
Toronto Waterfront Marathon,2019,2019-10-20,1287191020,TRUE
Toronto Waterfront Marathon,2018,2018-10-21,1287181021,TRUE
Toronto Waterfront Marathon,2017,2017-10-22,1287171022,TRUE
Toronto Waterfront Marathon,2016,2016-10-16,1287161016,TRUE
Toronto Waterfront Marathon,2015,2015-10-18,1287151018,TRUE
LA Marathon,2019,2019-03-24,9190324,TRUE
LA Marathon,2018,2018-03-18,9180318,TRUE
LA Marathon,2017,2017-03-19,9170319,TRUE
LA Marathon,2016,2016-02-14,9160214,TRUE
LA Marathon,2015,2015-03-15,9150315,TRUE
Richmond Marathon,2019,2019-11-16,477191116,TRUE
Richmond Marathon,2018,2018-11-10,477181110,TRUE
Richmond Marathon,2017,2017-11-11,477171111,TRUE
Richmond Marathon,2016,2016-11-12,477161112,TRUE
Richmond Marathon,2015,2015-11-14,477151114,TRUE
Eugene Marathon,2019,2019-04-28,2558190428,TRUE
Eugene Marathon,2018,2018-04-29,2558180429,TRUE
Eugene Marathon,2017,2017-05-07,2558170507,TRUE
Eugene Marathon,2016,2016-05-01,2558160501,TRUE
Eugene Marathon,2015,2015-05-10,2558150510,TRUE
Phoenix Marathon,2019,2019-02-09,4338190209,TRUE
Phoenix Marathon,2018,2018-02-24,4338180224,TRUE
Phoenix Marathon,2017,2017-02-25,4338170225,TRUE
Phoenix Marathon,2016,2016-02-27,4338160227,TRUE
Phoenix Marathon,2015,2015-02-28,4338150228,TRUE
Marine Corps Marathon,2019,2019-10-27,41191027,TRUE
Marine Corps Marathon,2018,2018-10-28,41181028,TRUE
Marine Corps Marathon,2017,2017-10-22,41171022,TRUE
Marine Corps Marathon,2016,2016-10-30,41161030,TRUE
Marine Corps Marathon,2015,2015-10-25,41151025,TRUE
Vancouver Intl Marathon,2019,2019-05-05,21190505,TRUE
Vancouver Intl Marathon,2018,2018-05-06,21180506,TRUE
Vancouver Intl Marathon,2017,2017-05-07,21170507,TRUE
Vancouver Intl Marathon,2016,2016-05-01,21160501,TRUE
Vancouver Intl Marathon,2015,2015-05-03,21150503,TRUE
Ottawa Marathon,2019,2019-05-26,24190526,TRUE
Ottawa Marathon,2018,2018-05-27,24180527,TRUE
Ottawa Marathon,2017,2017-05-28,24170528,TRUE
Ottawa Marathon,2016,2016-05-29,24160529,TRUE
Ottawa Marathon,2015,2015-05-24,24150524,TRUE
Columbus Marathon,2019,2019-10-20,473191020,TRUE
Columbus Marathon,2018,2018-10-21,473181021,TRUE
Columbus Marathon,2017,2017-10-15,473171015,TRUE
Columbus Marathon,2016,2016-10-16,473161016,TRUE
Columbus Marathon,2015,2015-10-18,473151018,TRUE
Lakefront Marathon,2019,2019-10-06,541191006,TRUE
Lakefront Marathon,2018,2018-10-07,541181007,TRUE
Lakefront Marathon,2017,2017-10-01,541171001,TRUE
Lakefront Marathon,2016,2016-10-02,541161002,TRUE
Lakefront Marathon,2015,2015-10-04,541151004,TRUE
Wineglass Marathon,2019,2019-10-06,539191006,TRUE
Wineglass Marathon,2018,2018-09-30,539180930,TRUE
Wineglass Marathon,2017,2017-10-01,539171001,TRUE
