"name_age","match_name","full_name","marathon","year","date","time","time_minutes","vaporfly"
"Caroline Rotich (F30)","CAROLINE ROTICH","CAROLINE ROTICH","Boston Marathon",2015,"2015-04-20","2:24:55",144.916666666667,FALSE
"Mare Dibaba (F25)","MARE DIBABA","MARE DIBABA","Boston Marathon",2015,"2015-04-20","2:24:59",144.983333333333,FALSE
"Buzunesh Deba (F27)","BUZUNESH DEBA","BUZUNESH DEBA","Boston Marathon",2015,"2015-04-20","2:25:09",145.15,FALSE
"Desiree Linden (F31)","DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2015,"2015-04-20","2:25:39",145.65,FALSE
"Sharon Cherop (F31)","SHARON CHEROP","SHARON CHEROP","Boston Marathon",2015,"2015-04-20","2:26:05",146.083333333333,FALSE
"Caroline Kilel (F34)","CAROLINE KILEL","CAROLINE KILEL","Boston Marathon",2015,"2015-04-20","2:26:40",146.666666666667,FALSE
"Aberu Kebede (F28)","ABERU KEBEDE","ABERU KEBEDE","Boston Marathon",2015,"2015-04-20","2:26:52",146.866666666667,FALSE
"Shure Demise (F19)","SHURE DEMISE","SHURE DEMISE","Boston Marathon",2015,"2015-04-20","2:27:14",147.233333333333,FALSE
"Shalane Flanagan (F33)","SHALANE FLANAGAN","SHALANE FLANAGAN","Boston Marathon",2015,"2015-04-20","2:27:47",147.783333333333,FALSE
"Joyce Chepkirui (F26)","JOYCE CHEPKIRUI","JOYCE CHEPKIRUI","Boston Marathon",2015,"2015-04-20","2:29:07",149.116666666667,FALSE
"Aleksandra Duliba (F27)","ALEKSANDRA DULIBA","ALEKSANDRA DULIBA","Boston Marathon",2015,"2015-04-20","2:29:23",149.383333333333,FALSE
"Lisa Nemec (F30)","LISA NEMEC","LISA NEMEC","Boston Marathon",2015,"2015-04-20","2:35:18",155.3,FALSE
"Adriana Nelson (F35)","ADRIANA NELSON","ADRIANA NELSON","Boston Marathon",2015,"2015-04-20","2:38:47",158.783333333333,FALSE
"Megumi Amako (F24)","MEGUMI AMAKO","MEGUMI AMAKO","Boston Marathon",2015,"2015-04-20","2:39:08",159.133333333333,FALSE
"Hilary K. Dionne (F29)","HILARY DIONNE","HILARY K. DIONNE","Boston Marathon",2015,"2015-04-20","2:40:42",160.7,FALSE
"Lauren Philbrook (F27)","LAUREN PHILBROOK","LAUREN PHILBROOK","Boston Marathon",2015,"2015-04-20","2:41:17",161.283333333333,FALSE
"Caitlin E. Phillips (F32)","CAITLIN E. PHILLIPS","CAITLIN E. PHILLIPS","Boston Marathon",2015,"2015-04-20","2:44:28",164.466666666667,FALSE
"Lissa Zimmer (F23)","LISSA ZIMMER","LISSA ZIMMER","Boston Marathon",2015,"2015-04-20","2:44:56",164.933333333333,FALSE
"Madeline E. Duhon (F26)","MADELINE DUHON","MADELINE E. DUHON","Boston Marathon",2015,"2015-04-20","2:46:34",166.566666666667,FALSE
"Amber Green (F34)","AMBER GREEN","AMBER GREEN","Boston Marathon",2015,"2015-04-20","2:48:07",168.116666666667,FALSE
"Christine E Shaw (F29)","CHRISTINE SHAW","CHRISTINE E SHAW","Boston Marathon",2015,"2015-04-20","2:50:06",170.1,FALSE
"Sabina Piras (F25)","SABINA PIRAS","SABINA PIRAS","Boston Marathon",2015,"2015-04-20","2:51:27",171.45,FALSE
"Caroline S. Boller (F40)","CAROLINE BOLLER","CAROLINE S. BOLLER","Boston Marathon",2015,"2015-04-20","2:54:08",174.133333333333,FALSE
"Rachel Coogan (F24)","RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2015,"2015-04-20","2:54:37",174.616666666667,FALSE
