"match_name","full_name","marathon","year","vaporfly"
"CAROLINE ROTICH","CAROLINE ROTICH","Boston Marathon",2015,FALSE
"MARE DIBABA","MARE DIBABA","Boston Marathon",2015,FALSE
"BUZUNESH DEBA","BUZUNESH DEBA","Boston Marathon",2015,FALSE
"DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2015,FALSE
"SHARON CHEROP","SHARON CHEROP","Boston Marathon",2015,FALSE
"CAROLINE KILEL","CAROLINE KILEL","Boston Marathon",2015,FALSE
"ABERU KEBEDE","ABERU KEBEDE","Boston Marathon",2015,FALSE
"SHURE DEMISE","SHURE DEMISE","Boston Marathon",2015,FALSE
"SHALANE FLANAGAN","SHALANE FLANAGAN","Boston Marathon",2015,FALSE
"JOYCE CHEPKIRUI","JOYCE CHEPKIRUI","Boston Marathon",2015,FALSE
"ALEKSANDRA DULIBA","ALEKSANDRA DULIBA","Boston Marathon",2015,FALSE
"LISA NEMEC","LISA NEMEC","Boston Marathon",2015,FALSE
"ADRIANA NELSON","ADRIANA NELSON","Boston Marathon",2015,FALSE
"MEGUMI AMAKO","MEGUMI AMAKO","Boston Marathon",2015,FALSE
"HILARY DIONNE","HILARY K. DIONNE","Boston Marathon",2015,FALSE
"LAUREN PHILBROOK","LAUREN PHILBROOK","Boston Marathon",2015,FALSE
"CAITLIN E. PHILLIPS","CAITLIN E. PHILLIPS","Boston Marathon",2015,FALSE
"LISSA ZIMMER","LISSA ZIMMER","Boston Marathon",2015,FALSE
"MADELINE DUHON","MADELINE E. DUHON","Boston Marathon",2015,FALSE
"AMBER GREEN","AMBER GREEN","Boston Marathon",2015,FALSE
"CHRISTINE SHAW","CHRISTINE E SHAW","Boston Marathon",2015,FALSE
"SABINA PIRAS","SABINA PIRAS","Boston Marathon",2015,FALSE
"CAROLINE BOLLER","CAROLINE S. BOLLER","Boston Marathon",2015,FALSE
"RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2015,FALSE
"ATSEDE BAYSA","ATSEDE BAYSA","Boston Marathon",2016,FALSE
"TIRFI TSEGAYE","TIRFI TSEGAYE","Boston Marathon",2016,FALSE
"JOYCE CHEPKIRUI","JOYCE CHEPKIRUI","Boston Marathon",2016,FALSE
"JELENA PROKOPCUKA","JELENA PROKOPCUKA","Boston Marathon",2016,FALSE
"VALENTINE KIPKETER","VALENTINE KIPKETER","Boston Marathon",2016,FALSE
"FLOMENA CHEYECH DANIEL","FLOMENA CHEYECH DANIEL","Boston Marathon",2016,FALSE
"BUZUNESH DEBA","BUZUNESH DEBA","Boston Marathon",2016,FALSE
"FATE TOLA","FATE TOLA","Boston Marathon",2016,FALSE
"NEELY SPENCE GRACEY","NEELY SPENCE GRACEY","Boston Marathon",2016,FALSE
"MAMITU DASKA","MAMITU DASKA","Boston Marathon",2016,FALSE
"SARAH CROUCH","SARAH CROUCH","Boston Marathon",2016,FALSE
"MIHARU SHIMOKADO","MIHARU SHIMOKADO","Boston Marathon",2016,FALSE
"AMANE BERISO","AMANE BERISO","Boston Marathon",2016,FALSE
"TIKI GELANA","TIKI GELANA","Boston Marathon",2016,FALSE
"TADELECH BEKELE","TADELECH BEKELE","Boston Marathon",2016,FALSE
"FATUMA SADO","FATUMA SADO","Boston Marathon",2016,FALSE
"LAURIE KNOWLES","LAURIE KNOWLES","Boston Marathon",2016,FALSE
"HILARY CORNO","HILARY CORNO","Boston Marathon",2016,FALSE
"MARY JOY TABAL","MARY TABAL","Boston Marathon",2016,FALSE
"AILSA MACDONALD","AILSA MACDONALD","Boston Marathon",2016,FALSE
"HILARY DIONNE","HILARY DIONNE","Boston Marathon",2016,FALSE
"LAURA HAGLEY","LAURA HAGLEY","Boston Marathon",2016,FALSE
"NICOLE MICHMERHUIZEN","NICOLE MICHMERHUIZEN","Boston Marathon",2016,FALSE
"STEPHANIE ANDRE","STEPHANIE ANDRE","Boston Marathon",2016,FALSE
"RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2016,FALSE
"LEAH FROST","LEAH FROST","Boston Marathon",2016,FALSE
"AMBER GREEN","AMBER GREEN","Boston Marathon",2016,FALSE
"EDNA KIPLAGAT","EDNA KIPLAGAT","Boston Marathon",2017,TRUE
"DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2017,FALSE
"VALENTINE KIPKETER","VALENTINE KIPKETER","Boston Marathon",2017,FALSE
"BUZUNESH DEBA","BUZUNESH DEBA","Boston Marathon",2017,FALSE
"DIANE NUKURI","DIANE NUKURI","Boston Marathon",2017,FALSE
"LINDSAY FLANAGAN","LINDSEY FLANAGAN","Boston Marathon",2017,FALSE
"ESTHER ATKINS","ESTHER ATKINS","Boston Marathon",2017,FALSE
"DOT MCMAHAN","DOT MCMAHAN","Boston Marathon",2017,FALSE
"TERESA MCWALTERS","TERESA MCWALTERS","Boston Marathon",2017,FALSE
"CARRIE DIMOFF","CARRIE DIMOFF","Boston Marathon",2017,FALSE
"MADELINE DUHON","MADELINE DUHON","Boston Marathon",2017,FALSE
"LAUREN PHILBROOK","LAUREN PHILBROOK","Boston Marathon",2017,FALSE
"ATSEDE BAYSA","ATSEDE BAYSA","Boston Marathon",2017,NA
"RACHEL HANNAH","RACHEL HANNAH","Boston Marathon",2017,FALSE
"HILARY CORNO","HILARY CORNO","Boston Marathon",2017,FALSE
"CAITLIN E. PHILLIPS","CAITLIN PHILLIPS","Boston Marathon",2017,NA
"STEPHANIE ANDRE","STEPHANIE ANDRE","Boston Marathon",2017,FALSE
"ALEXANDRA BERNARDI","ALEXANDRA E. BERNARDI","Boston Marathon",2017,FALSE
"NORA COLLIGAN","NORA COLLIGAN","Boston Marathon",2017,FALSE
"RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2017,FALSE
"KATIE SCHIEMANN","KATIE M. SCHIEMANN","Boston Marathon",2017,FALSE
"AMANDA NURSE","AMANDA NURSE","Boston Marathon",2017,FALSE
"DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2018,FALSE
"KRISTA DUCHENE","KRISTA DUCHENE","Boston Marathon",2018,FALSE
"RACHEL HYLAND","RACHEL HYLAND","Boston Marathon",2018,FALSE
"SHALANE FLANAGAN","SHALANE FLANAGAN","Boston Marathon",2018,TRUE
"KIMI REED","KIMI REED","Boston Marathon",2018,FALSE
